00000001    0046B238    N/A N/A N/A
00000002    0014C320    N/A N/A N/A
00000003    00122A10    N/A N/A N/A
00000004    000B8EA4    0003    006A8FAF    AlpcGetHeaderSize
00000025    003C4864    0024    006A9244    CcMdlRead
00000026    004916F8    0025    006A924E    CcMdlReadComplete
00000027    001BFCB8    0026    006A9260    CcMdlWriteAbort
00000028    0049125C    0027    006A9270    CcMdlWriteComplete
00000029    003ACF7C    0028    006A9283    CcPinMappedData
0000002A    003ACD8C    0029    006A9293    CcPinRead
0000002B    0007E198    002A    006A929D    CcPrepareMdlWrite
0000002C    00487F98    002B    006A92AF    CcPreparePinWrite
0000002D    000CC6AC    002C    006A92C1    CcPurgeCacheSection
0000002E    001BEFA8    002D    006A92D5    CcRegisterExternalCache
0000002F    000E3D44    002E    006A92ED    CcRemapBcb
00000030    001BF534    002F    006A92F8    CcRepinBcb
00000031    001BF638    0030    006A9303    CcScheduleReadAhead
00000032    000811E8    0031    006A9317    CcScheduleReadAheadEx
00000033    0008503C    0032    006A932D    CcSetAdditionalCacheAttributes
00000034    00084F7C    0033    006A934C    CcSetAdditionalCacheAttributesEx
00000035    005A70A0    0034    006A936D    CcSetBcbOwnerPointer
00000036    001BE92C    0035    006A9382    CcSetDirtyPageThreshold
00000037    00080CA8    0036    006A939A    CcSetDirtyPinnedData
00000038    000FD574    0037    006A93AF    CcSetFileSizes
00000039    000850B8    0038    006A93BE    CcSetFileSizesEx
0000003A    001BFB6C    0039    006A93CF    CcSetLogHandleForFile
0000003B    000F50B0    003A    006A93E5    CcSetLogHandleForFileEx
0000003C    00112FBC    003B    006A93FD    CcSetLoggedDataThreshold
0000003D    000ECA94    003C    006A9416    CcSetParallelFlushFile
0000003E    000F3B38    003D    006A942D    CcSetReadAheadGranularity
0000003F    000FDB90    003E    006A9447    CcSetReadAheadGranularityEx
00000040    0015B430    003F    006A9463    CcTestControl
00000041    0007EBB8    0040    006A9471    CcUninitializeCacheMap
00000042    00088228    0041    006A9488    CcUnmapFileOffsetFromSystemCache
00000043    003C4FD4    0042    006A94A9    CcUnpinData
00000044    005A70EC    0043    006A94B5    CcUnpinDataForThread
00000045    001BF640    0044    006A94CA    CcUnpinRepinnedBcb
00000046    001BF108    0045    006A94DD    CcUnregisterExternalCache
00000047    001052A4    0046    006A94F7    CcWaitForCurrentLazyWriterActivity
00000048    00434A60    0047    006A951A    CcZeroData
00000049    000BBB0C    0048    006A9525    CcZeroDataOnDisk
0000004A    005A9F8C    0049    006A9536    CmCallbackGetKeyObjectID
0000004B    0047E894    004A    006A954F    CmCallbackGetKeyObjectIDEx
0000004C    0048A71C    004B    006A956A    CmCallbackReleaseKeyObjectIDEx
0000004D    00495E8C    004C    006A9589    CmGetBoundTransaction
0000004E    005AA064    004D    006A959F    CmGetCallbackVersion
0000004F    006B7098    004E    006A95B4    CmKeyObjectType
00000050    005115C0    004F    006A95C4    CmRegisterCallback
00000051    00511594    0050    006A95D7    CmRegisterCallbackEx
00000052    005AA078    0051    006A95EC    CmSetCallbackObjectContext
00000053    005115E0    0052    006A9607    CmUnRegisterCallback
00000054    00154E70    0053    006A961C    DbgBreakPoint
00000055    00154E90    0054    006A962A    DbgBreakPointWithStatus
00000056    0020FB58    0055    006A9642    DbgCommandString
00000057    00108434    0056    006A9653    DbgLoadImageSymbols
00000058    0011B090    0057    006A9667    DbgPrint
00000059    000BA118    0058    006A9670    DbgPrintEx
0000005A    0020FBA8    0059    006A967B    DbgPrintReturnControlC
0000005B    0020FBE8    005A    006A9692    DbgPrompt
0000005C    0020FC24    005B    006A969C    DbgQueryDebugFilterState
0000005D    001314E8    005C    006A96B5    DbgSetDebugFilterState
0000005E    0020FC2C    005D    006A96CC    DbgSetDebugPrintCallback
0000005F    004E6978    005E    006A96E5    DbgkLkmdRegisterCallback
00000060    005BFF5C    005F    006A96FE    DbgkLkmdUnregisterCallback
00000061    005C0894    0060    006A9719    DbgkWerCaptureLiveKernelDump
00000062    0036FA54    0061    006A9736    EmClientQueryRuleState
00000063    005C18E8    0062    006A974D    EmClientRuleDeregisterNotification
00000064    003700B4    0063    006A9770    EmClientRuleEvaluate
00000065    005C19F0    0064    006A9785    EmClientRuleRegisterNotification
00000066    005C1C84    0065    006A97A6    EmProviderDeregister
00000067    005C1E54    0066    006A97BB    EmProviderDeregisterEntry
00000068    004FA814    0067    006A97D5    EmProviderRegister
00000069    005C1EE0    0068    006A97E8    EmProviderRegisterEntry
0000006A    004FA838    0069    006A9800    EmpProviderRegister
0000006B    000F19E8    006A    006A9814    EtwActivityIdControl
0000006C    004D7F10    006B    006A9829    EtwEnableTrace
0000006D    00102850    006C    006A9838    EtwEventEnabled
0000006E    001028E8    006D    006A9848    EtwProviderEnabled
0000006F    00493B74    006E    006A985B    EtwRegister
00000070    004C36AC    006F    006A9867    EtwRegisterClassicProvider
00000071    00236058    0070    006A9882    EtwSendTraceBuffer
00000072    00630B6C    0071    006A9895    EtwSetInformation
00000073    004DCF28    0072    006A98A7    EtwUnregister
00000074    00102978    0073    006A98B5    EtwWrite
00000075    004D44DC    0074    006A98BE    EtwWriteEndScenario
00000076    001136F8    0075    006A98D2    EtwWriteEx
00000077    004D4BB0    0076    006A98DD    EtwWriteStartScenario
00000078    002358D4    0077    006A98F3    EtwWriteString
00000079    00235AFC    0078    006A9902    EtwWriteTransfer
0000007A    000E178C    0079    006A9913    ExAcquireCacheAwarePushLockExclusive
0000007B    0023D37C    007A    006A9938    ExAcquireCacheAwarePushLockExclusiveEx
0000007C    00025CE0    007B    006A995F    ExAcquireCacheAwarePushLockSharedEx
0000007D    00070FB0    007C    006A9983    ExAcquireFastMutex
0000007E    000761B8    007D    006A9996    ExAcquireFastMutexUnsafe
0000007F    00070CF0    007E    006A99AF    ExAcquirePushLockExclusiveEx
00000080    00042840    007F    006A99CC    ExAcquirePushLockSharedEx
00000081    000375F0    0080    006A99E6    ExAcquireResourceExclusiveLite
00000082    00037920    0081    006A9A05    ExAcquireResourceSharedLite
00000083    00024C10    0082    006A9A21    ExAcquireRundownProtection
00000084    000EC934    0083    006A9A3C    ExAcquireRundownProtectionCacheAware
00000085    0002F710    0084    006A9A61    ExAcquireRundownProtectionCacheAwareEx
00000086    000312F4    0085    006A9A88    ExAcquireRundownProtectionEx
00000087    0005AA88    0086    006A9AA5    ExAcquireSharedStarveExclusive
00000088    000FD01C    0087    006A9AC4    ExAcquireSharedWaitForExclusive
00000089    0002B130    0088    006A9AE4    ExAcquireSpinLockExclusive
0000008A    0002B1A8    0089    006A9AFF    ExAcquireSpinLockExclusiveAtDpcLevel
0000008B    000244C0    008A    006A9B24    ExAcquireSpinLockShared
0000008C    0002450C    008B    006A9B3C    ExAcquireSpinLockSharedAtDpcLevel
0000008D    000F7040    008C    006A9B5E    ExAllocateCacheAwarePushLock
0000008E    00434D40    008D    006A9B7B    ExAllocateCacheAwareRundownProtection
0000008F    000FDB84    008E    006A9BA1    ExAllocatePool
00000090    0023C054    008F    006A9BB0    ExAllocatePoolWithQuota
00000091    00095730    0090    006A9BC8    ExAllocatePoolWithQuotaTag
00000092    0029DA50    0091    006A9BE3    ExAllocatePoolWithTag
00000093    000DD9A0    0092    006A9BF9    ExAllocatePoolWithTagPriority
00000094    001229F8    0093    006A9C17    ExAllocateTimer
00000095    000DCB64    0094    006A9C27    ExBlockOnAddressPushLock
00000096    000DCC04    0095    006A9C40    ExBlockPushLock
00000097    0023DF68    0096    006A9C50    ExCancelTimer
00000098    002B2028    0097    006A9C5E    ExCompositionObjectType
00000099    000E2E9C    0098    006A9C76    ExConvertExclusiveToSharedLite
0000009A    004BFCD8    0099    006A9C95    ExCreateCallback
0000009B    0011A508    009A    006A9CA6    ExDeleteLookasideListEx
0000009C    001388E8    009B    006A9CBE    ExDeleteNPagedLookasideList
0000009D    000F866C    009C    006A9CDA    ExDeletePagedLookasideList
0000009E    000CF83C    009D    006A9CF5    ExDeleteResourceLite
0000009F    0012342C    009E    006A9D0A    ExDeleteTimer
000000A0    002B2020    009F    006A9D18    ExDesktopObjectType
000000A1    00112360    00A0    006A9D2C    ExDisableResourceBoostLite
000000A2    000DE910    00A1    006A9D47    ExEnterCriticalRegionAndAcquireFastMutexUnsafe
000000A3    00036510    00A2    006A9D76    ExEnterCriticalRegionAndAcquireResourceExclusive
000000A4    000FBCB4    00A3    006A9DA7    ExEnterCriticalRegionAndAcquireResourceShared
000000A5    0023D5FC    00A4    006A9DD5    ExEnterCriticalRegionAndAcquireSharedWaitForExclusive
000000A6    000361E0    00A5    006A9E0B    ExEnterPriorityRegionAndAcquireResourceExclusive
000000A7    00036150    00A6    006A9E3C    ExEnterPriorityRegionAndAcquireResourceShared
000000A8    0046FA9C    00A7    006A9E6A    ExEnumHandleTable
000000A9    0035C0C8    00A8    006A9E7C    ExEventObjectType
000000AA    0023E864    00A9    006A9E8E    ExExtendZone
000000AB    0063AC80    00AA    006A9E9B    ExFetchLicenseData
000000AC    000F97FC    00AB    006A9EAE    ExFlushLookasideListEx
000000AD    000FDAA0    00AC    006A9EC5    ExFreeCacheAwarePushLock
000000AE    0007D61C    00AD    006A9EDE    ExFreeCacheAwareRundownProtection
000000AF    0029E860    00AE    006A9F00    ExFreePool
000000B0    0029D000    00AF    006A9F0B    ExFreePoolWithTag
000000B1    000EDE58    00B0    006A9F1D    ExGetCurrentProcessorCounts
000000B2    0023D05C    00B1    006A9F39    ExGetCurrentProcessorCpuUsage
000000B3    0023D62C    00B2    006A9F57    ExGetExclusiveWaiterCount
000000B4    0051015C    00B3    006A9F71    ExGetFirmwareEnvironmentVariable
000000B5    0063AE64    00B4    006A9F92    ExGetLicenseTamperState
000000B6    000D0E80    00B5    006A9FAA    ExGetPreviousMode
000000B7    0023D630    00B6    006A9FBC    ExGetSharedWaiterCount
000000B8    000F2EE4    00B7    006A9FD3    ExInitializeLookasideListEx
000000B9    001100B4    00B8    006A9FEF    ExInitializeNPagedLookasideList
000000BA    0047CE58    00B9    006AA00F    ExInitializePagedLookasideList
000000BB    000B0D18    00BA    006AA02E    ExInitializePushLock
000000BC    000CFE50    00BB    006AA043    ExInitializeResourceLite
000000BD    000B0D18    00BC    006AA05C    ExInitializeRundownProtection
000000BE    00434E44    00BD    006AA07A    ExInitializeRundownProtectionCacheAware
000000BF    001394F4    00BE    006AA0A2    ExInitializeZone
000000C0    000FC34C    00BF    006AA0B3    ExInterlockedAddLargeInteger
000000C1    00122FF0    00C0    006AA0D0    ExInterlockedAddUlong
000000C2    0023E8C0    00C1    006AA0E6    ExInterlockedExtendZone
000000C3    0010DFB4    00C2    006AA0FE    ExInterlockedInsertHeadList
000000C4    000EA0EC    00C3    006AA11A    ExInterlockedInsertTailList
000000C5    0023EA04    00C4    006AA136    ExInterlockedPopEntryList
000000C6    0023EA9C    00C5    006AA150    ExInterlockedPushEntryList
000000C7    000E7880    00C6    006AA16B    ExInterlockedRemoveHeadList
000000C8    00124BA8    00C7    006AA187    ExIsProcessorFeaturePresent
000000C9    000A34E8    00C8    006AA1A3    ExIsResourceAcquiredExclusiveLite
000000CA    0003ACC0    00C9    006AA1C5    ExIsResourceAcquiredSharedLite
000000CB    00124504    00CA    006AA1E4    ExLocalTimeToSystemTime
000000CC    0023C720    00CB    006AA1FC    ExNotifyBootDeviceRemoval
000000CD    000B8B9C    00CC    006AA216    ExNotifyCallback
000000CE    0009DE14    00CD    006AA227    ExQueryDepthSList
000000CF    0063B0E8    00CE    006AA239    ExQueryFastCacheAppOrigin
000000D0    0063B230    00CF    006AA253    ExQueryFastCacheDevLicense
000000D1    0023C488    00D0    006AA26E    ExQueryPoolBlockSize
000000D2    0023C60C    00D1    006AA283    ExQueryTimerResolution
000000D3    00645F24    00D2    006AA29A    ExQueryWnfStateData
000000D4    00071180    00D3    006AA2AE    ExQueueWorkItem
000000D5    00646370    00D4    006AA2BE    ExRaiseAccessViolation
000000D6    00646380    00D5    006AA2D5    ExRaiseDatatypeMisalignment
000000D7    0020FF98    00D6    006AA2F1    ExRaiseException
000000D8    00646390    00D7    006AA302    ExRaiseHardError
000000D9    000F81C0    00D8    006AA313    ExRaiseStatus
000000DA    0013B7DC    00D9    006AA321    ExReInitializeRundownProtection
000000DB    000EED10    00DA    006AA341    ExReInitializeRundownProtectionCacheAware
000000DC    00124C14    00DB    006AA36B    ExRealTimeIsUniversal
000000DD    0023C76C    00DC    006AA381    ExRegisterBootDevice
000000DE    00122AF4    00DD    006AA396    ExRegisterCallback
000000DF    00505014    00DE    006AA3A9    ExRegisterExtension
000000E0    000E9E98    00DF    006AA3BD    ExReinitializeResourceLite
000000E1    00025C78    00E0    006AA3D8    ExReleaseCacheAwarePushLockExclusive
000000E2    0023D440    00E1    006AA3FD    ExReleaseCacheAwarePushLockExclusiveEx
000000E3    000D2010    00E2    006AA424    ExReleaseCacheAwarePushLockSharedEx
000000E4    00042B74    00E3    006AA448    ExReleaseFastMutex
000000E5    00076184    00E4    006AA45B    ExReleaseFastMutexUnsafe
000000E6    000E359C    00E5    006AA474    ExReleaseFastMutexUnsafeAndLeaveCriticalRegion
000000E7    00044840    00E6    006AA4A3    ExReleasePushLockEx
000000E8    000448B0    00E7    006AA4B7    ExReleasePushLockExclusiveEx
000000E9    00042CA0    00E8    006AA4D4    ExReleasePushLockSharedEx
000000EA    000378B0    00E9    006AA4EE    ExReleaseResourceAndLeaveCriticalRegion
000000EB    00037460    00EA    006AA516    ExReleaseResourceAndLeavePriorityRegion
000000EC    000F5308    00EB    006AA53E    ExReleaseResourceForThreadLite
000000ED    00037910    00EC    006AA55D    ExReleaseResourceLite
000000EE    00025C30    00ED    006AA573    ExReleaseRundownProtection
000000EF    000ECA14    00EE    006AA58E    ExReleaseRundownProtectionCacheAware
000000F0    00031320    00EF    006AA5B3    ExReleaseRundownProtectionCacheAwareEx
000000F1    000D975C    00F0    006AA5DA    ExReleaseRundownProtectionEx
000000F2    0002B274    00F1    006AA5F7    ExReleaseSpinLockExclusive
000000F3    0002B29C    00F2    006AA612    ExReleaseSpinLockExclusiveFromDpcLevel
000000F4    000ED648    00F3    006AA639    ExReleaseSpinLockShared
000000F5    000ED670    00F4    006AA651    ExReleaseSpinLockSharedFromDpcLevel
000000F6    000FD21C    00F5    006AA675    ExRundownCompleted
000000F7    0023DAA8    00F6    006AA688    ExRundownCompletedCacheAware
000000F8    0035C460    00F7    006AA6A5    ExSemaphoreObjectType
000000F9    0063F294    00F8    006AA6BB    ExSetFirmwareEnvironmentVariable
000000FA    0063B614    00F9    006AA6DC    ExSetLicenseTamperState
000000FB    000A34E0    00FA    006AA6F4    ExSetResourceOwnerPointer
000000FC    000A25F4    00FB    006AA70E    ExSetResourceOwnerPointerEx
000000FD    000FC03C    00FC    006AA72A    ExSetTimer
000000FE    0063C0CC    00FD    006AA735    ExSetTimerResolution
000000FF    0050EF40    00FE    006AA74A    ExSizeOfRundownProtectionCacheAware
00000100    00496B08    00FF    006AA76E    ExSubscribeWnfStateChange
00000101    0063C6E8    0100    006AA788    ExSystemExceptionFilter
00000102    000FD314    0101    006AA7A0    ExSystemTimeToLocalTime
00000103    000DCC20    0102    006AA7B8    ExTimedWaitForUnblockPushLock
00000104    000D33F4    0103    006AA7D6    ExTryAcquirePushLockExclusiveEx
00000105    00025054    0104    006AA7F6    ExTryAcquirePushLockSharedEx
00000106    000EF59C    0105    006AA813    ExTryConvertPushLockSharedToExclusiveEx
00000107    0023DADC    0106    006AA83B    ExTryConvertSharedSpinLockExclusive
00000108    0010CA4C    0107    006AA85F    ExTryQueueWorkItem
00000109    0023D584    0108    006AA872    ExTryToAcquireFastMutex
0000010A    0023D778    0109    006AA88A    ExTryToAcquireResourceExclusiveLite
0000010B    00031EFC    010A    006AA8AE    ExUnblockOnAddressPushLockEx
0000010C    00031EFC    010B    006AA8CB    ExUnblockPushLockEx
0000010D    0011AFBC    010C    006AA8DF    ExUnregisterCallback
0000010E    00646B9C    010D    006AA8F4    ExUnregisterExtension
0000010F    004971E8    010E    006AA90A    ExUnsubscribeWnfStateChange
00000110    003EC07C    010F    006AA926    ExUuidCreate
00000111    00135A14    0110    006AA933    ExVerifySuite
00000112    000F8FF0    0111    006AA941    ExWaitForRundownProtectionRelease
00000113    0007D4AC    0112    006AA963    ExWaitForRundownProtectionReleaseCacheAware
00000114    0023D574    0113    006AA98F    ExWaitForUnblockPushLock
00000115    002B2018    0114    006AA9A8    ExWindowStationObjectType
00000116    00027704    0115    006AA9C2    ExfAcquirePushLockExclusive
00000117    00027E58    0116    006AA9DE    ExfAcquirePushLockShared
00000118    000284A8    0117    006AA9F7    ExfReleasePushLock
00000119    00028574    0118    006AAA0A    ExfReleasePushLockExclusive
0000011A    000284C4    0119    006AAA26    ExfReleasePushLockShared
0000011B    00025E2C    011A    006AAA3F    ExfTryAcquirePushLockShared
0000011C    000285AC    011B    006AAA5B    ExfTryToWakePushLock
0000011D    0023D57C    011C    006AAA70    ExfUnblockPushLock
0000011E    00154F90    011D    006AAA83    ExpInterlockedFlushSList
0000011F    00154F10    011E    006AAA9C    ExpInterlockedPopEntrySList
00000120    00154F50    011F    006AAAB8    ExpInterlockedPushEntrySList
00000121    00154F00    0120    006AAAD5    FirstEntrySList
00000122    00458158    0121    006AAAE5    FsRtlAcknowledgeEcp
00000123    000A3028    0122    006AAAF9    FsRtlAcquireEofLock
00000124    003C7728    0123    006AAB0D    FsRtlAcquireFileExclusive
00000125    000D3CC0    0124    006AAB27    FsRtlAcquireHeaderMutex
00000126    000E95E0    0125    006AAB3F    FsRtlAddBaseMcbEntry
00000127    000E95F4    0126    006AAB54    FsRtlAddBaseMcbEntryEx
00000128    000E8EF0    0127    006AAB6B    FsRtlAddLargeMcbEntry
00000129    001C208C    0128    006AAB81    FsRtlAddMcbEntry
0000012A    004672C0    0129    006AAB92    FsRtlAddToTunnelCache
0000012B    0047515C    012A    006AABA8    FsRtlAllocateExtraCreateParameter
0000012C    003C4AC0    012B    006AABCA    FsRtlAllocateExtraCreateParameterFromLookasideList
0000012D    003C4B98    012C    006AABFD    FsRtlAllocateExtraCreateParameterList
0000012E    000FD228    012D    006AAC23    FsRtlAllocateFileLock
0000012F    001C300C    012E    006AAC39    FsRtlAllocatePool
00000130    001C3034    012F    006AAC4B    FsRtlAllocatePoolWithQuota
00000131    001C305C    0130    006AAC66    FsRtlAllocatePoolWithQuotaTag
00000132    001C307C    0131    006AAC84    FsRtlAllocatePoolWithTag
00000133    005C2158    0132    006AAC9D    FsRtlAllocateResource
00000134    000DEBC0    0133    006AACB3    FsRtlAreNamesEqual
00000135    001C2BE4    0134    006AACC6    FsRtlAreThereCurrentOrInProgressFileLocks
00000136    0012BDCC    0135    006AACF0    FsRtlAreThereWaitingFileLocks
00000137    004973D4    0136    006AAD0E    FsRtlAreVolumeStartupApplicationsComplete
00000138    004C5540    0137    006AAD38    FsRtlBalanceReads
00000139    0046AE38    0138    006AAD4A    FsRtlCancellableWaitForMultipleObjects
0000013A    00468DE4    0139    006AAD71    FsRtlCancellableWaitForSingleObject
0000013B    000F83A8    013A    006AAD95    FsRtlChangeBackingFileObject
0000013C    000FD144    013B    006AADB2    FsRtlCheckLockForOplockRequest
0000013D    000E9D3C    013C    006AADD1    FsRtlCheckLockForReadAccess
0000013E    0010FBC4    013D    006AADED    FsRtlCheckLockForWriteAccess
0000013F    000D7C9C    013E    006AAE0A    FsRtlCheckOplock
00000140    000D7D48    013F    006AAE1B    FsRtlCheckOplockEx
00000141    004DC080    0140    006AAE2E    FsRtlCheckUpperOplock
00000142    005C21F8    0141    006AAE44    FsRtlCopyRead
00000143    005C2520    0142    006AAE52    FsRtlCopyWrite
00000144    000AF8B8    0143    006AAE61    FsRtlCreateSectionForDataScan
00000145    0047859C    0144    006AAE7F    FsRtlCurrentBatchOplock
00000146    000FD3DC    0145    006AAE97    FsRtlCurrentOplock
00000147    0051020C    0146    006AAEAA    FsRtlCurrentOplockH
00000148    005C2178    0147    006AAEBE    FsRtlDeleteExtraCreateParameterLookasideList
00000149    004B7D58    0148    006AAEEB    FsRtlDeleteKeyFromTunnelCache
0000014A    004C4150    0149    006AAF09    FsRtlDeleteTunnelCache
0000014B    005C3300    014A    006AAF20    FsRtlDeregisterUncProvider
0000014C    004AB058    014B    006AAF3B    FsRtlDismountComplete
0000014D    005C3B84    014C    006AAF51    FsRtlDissectDbcs
0000014E    000E15FC    014D    006AAF62    FsRtlDissectName
0000014F    005C3C58    014E    006AAF73    FsRtlDoesDbcsContainWildCards
00000150    000DE104    014F    006AAF91    FsRtlDoesNameContainWildCards
00000151    0010FDE0    0150    006AAFAF    FsRtlFastCheckLockForRead
00000152    0010FC58    0151    006AAFC9    FsRtlFastCheckLockForWrite
00000153    000DEC48    0152    006AAFE4    FsRtlFastUnlockAll
00000154    001C2C08    0153    006AAFF7    FsRtlFastUnlockAllByKey
00000155    000DF04C    0154    006AB00F    FsRtlFastUnlockSingle
00000156    00458098    0155    006AB025    FsRtlFindExtraCreateParameter
00000157    00467638    0156    006AB043    FsRtlFindInTunnelCache
00000158    003D665C    0157    006AB05A    FsRtlFreeExtraCreateParameter
00000159    003D65EC    0158    006AB078    FsRtlFreeExtraCreateParameterList
0000015A    0011340C    0159    006AB09A    FsRtlFreeFileLock
0000015B    00458080    015A    006AB0AC    FsRtlGetEcpListFromIrp
0000015C    005C4534    015B    006AB0C3    FsRtlGetFileNameInformation
0000015D    003C57A4    015C    006AB0DF    FsRtlGetFileSize
0000015E    000A2FE0    015D    006AB0F0    FsRtlGetIoAtEof
0000015F    000EA224    015E    006AB100    FsRtlGetNextBaseMcbEntry
00000160    0048EE9C    015F    006AB119    FsRtlGetNextExtraCreateParameter
00000161    0012BA8C    0160    006AB13A    FsRtlGetNextFileLock
00000162    001C209C    0161    006AB14F    FsRtlGetNextLargeMcbEntry
00000163    001C2190    0162    006AB169    FsRtlGetNextMcbEntry
00000164    004C03E8    0163    006AB17E    FsRtlGetSectorSizeInformation
00000165    000FD5B0    0164    006AB19C    FsRtlGetSupportedFeatures
00000166    00112764    0165    006AB1B6    FsRtlGetVirtualDiskNestingLevel
00000167    005C4558    0166    006AB1D6    FsRtlHeatInit
00000168    005C467C    0167    006AB1E4    FsRtlHeatLogIo
00000169    005C4750    0168    006AB1F3    FsRtlHeatLogTierMove
0000016A    005C47A4    0169    006AB208    FsRtlHeatUninit
0000016B    0012A0D8    016A    006AB218    FsRtlIncrementCcFastMdlReadWait
0000016C    001C2020    016B    006AB238    FsRtlIncrementCcFastReadNoWait
0000016D    004BFF64    016C    006AB257    FsRtlIncrementCcFastReadNotPossible
0000016E    001C202C    016D    006AB27B    FsRtlIncrementCcFastReadResourceMiss
0000016F    0047C1A0    016E    006AB2A0    FsRtlIncrementCcFastReadWait
00000170    0050F290    016F    006AB2BD    FsRtlInitExtraCreateParameterLookasideList
00000171    0007EBAC    0170    006AB2E8    FsRtlInitializeBaseMcb
00000172    00081948    0171    006AB2FF    FsRtlInitializeBaseMcbEx
00000173    000EE590    0172    006AB318    FsRtlInitializeEofLock
00000174    005C2188    0173    006AB32F    FsRtlInitializeExtraCreateParameter
00000175    005C21C0    0174    006AB353    FsRtlInitializeExtraCreateParameterList
00000176    000FD268    0175    006AB37B    FsRtlInitializeFileLock
00000177    000FBFD8    0176    006AB393    FsRtlInitializeLargeMcb
00000178    005C32F0    0177    006AB3AB    FsRtlInitializeMcb
00000179    0049A70C    0178    006AB3BE    FsRtlInitializeOplock
0000017A    004C3B10    0179    006AB3D4    FsRtlInitializeTunnelCache
0000017B    00472FB8    017A    006AB3EF    FsRtlInsertExtraCreateParameter
0000017C    001C43BC    017B    006AB40F    FsRtlInsertPerFileContext
0000017D    000D6DA4    017C    006AB429    FsRtlInsertPerFileObjectContext
0000017E    001C455C    017D    006AB449    FsRtlInsertPerStreamContext
0000017F    001C4738    017E    006AB465    FsRtlInsertReservedPerFileContext
00000180    000F6098    017F    006AB487    FsRtlInsertReservedPerStreamContext
00000181    005C3CC8    0180    006AB4AB    FsRtlIsDbcsInExpression
00000182    005C21E4    0181    006AB4C3    FsRtlIsEcpAcknowledged
00000183    0047E888    0182    006AB4DA    FsRtlIsEcpFromUserMode
00000184    0047F2C4    0183    006AB4F1    FsRtlIsFatDbcsLegal
00000185    005C4328    0184    006AB505    FsRtlIsHpfsDbcsLegal
00000186    000DDBF8    0185    006AB51A    FsRtlIsNameInExpression
00000187    000FDBD8    0186    006AB532    FsRtlIsNtstatusExpected
00000188    000EC9F8    0187    006AB54A    FsRtlIsPagingFile
00000189    001042D0    0188    006AB55C    FsRtlIsSystemPagingFile
0000018A    0007FB74    0189    006AB574    FsRtlIsTotalDeviceFailure
0000018B    004C06F8    018A    006AB58E    FsRtlIssueDeviceIoControl
0000018C    004127B4    018B    006AB5A8    FsRtlKernelFsControlFile
0000018D    0001D110    018C    006AB5C1    FsRtlLegalAnsiCharacterArray
0000018E    005C29C4    018D    006AB5DE    FsRtlLogCcFlushError
0000018F    000E344C    018E    006AB5F3    FsRtlLookupBaseMcbEntry
00000190    001C21F0    018F    006AB60B    FsRtlLookupLargeMcbEntry
00000191    000EDA38    0190    006AB624    FsRtlLookupLastBaseMcbEntry
00000192    000F94D4    0191    006AB640    FsRtlLookupLastBaseMcbEntryAndIndex
00000193    001C2350    0192    006AB664    FsRtlLookupLastLargeMcbEntry
00000194    001C247C    0193    006AB681    FsRtlLookupLastLargeMcbEntryAndIndex
00000195    001C25B0    0194    006AB6A6    FsRtlLookupLastMcbEntry
00000196    001C25F4    0195    006AB6BE    FsRtlLookupMcbEntry
